HASHID,Version,Storage,Wells,Drains
8193d993cb436de57e2dc6d02fc8f0f4,TRold96,8878025728,2336508160,20301223936
866bcaef101162a8a0a9d3a3b75b3b97,TRBAR96,8252580864,2113559808,20693137408
866bcaef101162a8a0a9d3a3b75b3b97,TRMAC96,11542493184,2113567488,33130686464
866bcaef101162a8a0a9d3a3b75b3b97,TRNAT96,11499440128,2113567488,32099082240
866bcaef101162a8a0a9d3a3b75b3b97,TRold96,8920904704,2110249600,20549892096
894866ec40d0ad37f7c8bd312b75ede6,TRBAR96,8253679104,2373594112,20452270080
894866ec40d0ad37f7c8bd312b75ede6,TRMAC96,11542546432,2373601792,32883007488
894866ec40d0ad37f7c8bd312b75ede6,TRNAT96,11500145664,2373601792,31851413504
894866ec40d0ad37f7c8bd312b75ede6,TRold96,8877907968,2317358592,20321165312
89a50cb37f9bd7ca0430b3f49c8d542c,TRBAR96,8253606912,2392588800,20434399232
89a50cb37f9bd7ca0430b3f49c8d542c,TRMAC96,11542268928,2392596480,32863324160
89a50cb37f9bd7ca0430b3f49c8d542c,TRNAT96,11499968512,2392596480,31833939968
89a50cb37f9bd7ca0430b3f49c8d542c,TRold96,8875811840,2336487936,20305766400
8c33587c5e19837ac73673d2a72fda2b,TRBAR96,8240600576,2304259328,20511926272
8c33587c5e19837ac73673d2a72fda2b,TRMAC96,11540799488,2304274944,32952559616
8c33587c5e19837ac73673d2a72fda2b,TRNAT96,11498327040,2304274944,31921674240
8c33587c5e19837ac73673d2a72fda2b,TRold96,8873516032,2298679808,20347703296
8c7cf4a1806555540f7b3a8d579462d1,TRBAR96,8253978624,2131477632,20678281216
8c7cf4a1806555540f7b3a8d579462d1,TRMAC96,11542809600,2131484032,33113899008
8c7cf4a1806555540f7b3a8d579462d1,TRNAT96,11500062720,2131484032,32080490496
8c7cf4a1806555540f7b3a8d579462d1,TRold96,8926776320,2075388416,20579237888
8e69d98bac0010dc378825156050afb4,TRBAR96,8255157248,2296629504,20520202240
8e69d98bac0010dc378825156050afb4,TRMAC96,11543438336,2357277696,32898267136
8e69d98bac0010dc378825156050afb4,TRNAT96,11500498944,2357277696,31867850752
8e69d98bac0010dc378825156050afb4,TRold96,8876348416,2290734080,20348358656
90061e9ec9d9c3e79d7b43c528ae0867,TRBAR96,8252550144,2122280064,20684636160
90061e9ec9d9c3e79d7b43c528ae0867,TRMAC96,11542498304,2122287360,33122183168
90061e9ec9d9c3e79d7b43c528ae0867,TRNAT96,11499493376,2122287360,32090447872
90061e9ec9d9c3e79d7b43c528ae0867,TRold96,8921156608,2119001088,20541169664
909e975c3f7e8598b1a284240b0a5fe4,TRBAR96,8252577280,2111623680,20695009280
909e975c3f7e8598b1a284240b0a5fe4,TRMAC96,11542495232,2111630720,33132492800
909e975c3f7e8598b1a284240b0a5fe4,TRNAT96,11499443200,2111630720,32100988928
909e975c3f7e8598b1a284240b0a5fe4,TRold96,8921385984,2108343680,20550782976
912f560b8e33ec591e1d558f90b6249d,TRBAR96,8253473280,2343137536,20480821248
912f560b8e33ec591e1d558f90b6249d,TRMAC96,11543114752,2343143168,32911626240
912f560b8e33ec591e1d558f90b6249d,TRNAT96,11500497920,2343143168,31880278016
912f560b8e33ec591e1d558f90b6249d,TRold96,8875504640,2287349504,20350806016
94767f26b8bd00f41f8f987fac7fa4ed,TRBAR96,8241947648,2399404288,20421828608
94767f26b8bd00f41f8f987fac7fa4ed,TRMAC96,11542021120,2399419648,32859564032
94767f26b8bd00f41f8f987fac7fa4ed,TRNAT96,11499255808,2399419648,31830439936
94767f26b8bd00f41f8f987fac7fa4ed,TRold96,8880669696,2343268864,20302804992
